True,Pred
0.0,0.074737325
0.0,0.0030217678
0.0,0.008798591
0.0,0.08743261
0.0,0.00100249
0.0,0.008666615
0.0,0.11088013
0.0,0.008971367
0.0,0.049802076
0.0,0.034689456
0.0,0.032030303
0.0,0.3354243
1.0,0.25745285
0.0,0.0009824899
0.0,0.0074028247
0.0,0.052421324
0.0,0.07860929
0.0,0.066073135
0.0,0.04348913
0.0,0.008189521
0.0,0.010107982
1.0,0.08196651
0.0,0.14692558
0.0,0.09380926
0.0,0.009345329
0.0,0.0021835037
0.0,0.004309852
0.0,0.004763182
0.0,0.0018808023
0.0,0.021667782
0.0,0.006241286
0.0,0.0025824907
0.0,0.031066889
0.0,0.23382154
0.0,0.08197588
1.0,0.066588365
0.0,0.0012750352
0.0,0.0029026335
0.0,0.009113159
0.0,0.03094576
1.0,0.81150585
0.0,0.34287596
0.0,0.021151604
0.0,0.018364651
0.0,0.07767752
0.0,0.0009929192
0.0,0.00862662
1.0,0.81150585
0.0,0.0027439347
0.0,0.113871135
0.0,0.14290081
0.0,0.012693495
0.0,0.0071534486
0.0,0.031032188
0.0,0.009828223
0.0,0.017223768
0.0,0.15358685
0.0,0.04972629
0.0,0.020143803
1.0,0.807727
0.0,0.02616987
1.0,0.777422
0.0,0.01927066
0.0,0.031898692
0.0,0.0007005886
0.0,0.029014584
0.0,0.06696214
0.0,0.04300245
0.0,0.031530786
0.0,0.0051073288
0.0,0.0058332346
0.0,0.020218708
1.0,0.81150585
0.0,0.0034224796
0.0,0.14815745
0.0,0.003625397
0.0,0.018894263
0.0,0.3242244
0.0,0.016889462
0.0,0.039892145
0.0,0.103339694
0.0,0.014280168
0.0,0.031326037
0.0,0.015887981
0.0,0.02709404
0.0,0.025684914
0.0,0.008989467
0.0,0.03178829
0.0,0.047787443
0.0,0.006305924
0.0,0.029757628
1.0,0.17911313
0.0,0.0048116976
0.0,0.12389439
0.0,0.0076865526
0.0,0.16243665
0.0,0.0015219868
0.0,0.009573568
0.0,0.013701528
1.0,0.14063312
0.0,1.4133288e-05
1.0,0.5090143
0.0,0.010600689
1.0,0.81150585
0.0,0.028918674
0.0,0.057143163
0.0,0.018221244
1.0,0.14386976
0.0,0.055620186
0.0,0.69795686
0.0,0.08692811
0.0,0.037487134
0.0,0.017578999
0.0,0.2067088
0.0,0.028410291
0.0,0.036626738
0.0,0.063894555
0.0,0.052364435
0.0,0.031631954
0.0,0.02534469
0.0,0.10858585
0.0,0.36452398
0.0,0.0025456473
1.0,0.047168724
0.0,0.1394749
0.0,0.008427457
0.0,0.1400774
1.0,0.81150585
0.0,0.012771508
0.0,0.043198675
0.0,0.18360293
0.0,0.0021665927
