True_Label,Tabular_Prob,Text_Prob,Fusion_Prob
0,0.03900824,0.15007034,0.09453929
0,0.09094142,0.09828943,0.09461543
0,0.15700991,0.06963992,0.11332492
0,0.33816782,0.12179306,0.22998044
0,0.0130349165,0.03303783,0.023036374
0,0.059486113,0.042958405,0.051222257
0,0.36116758,0.08458119,0.22287439
0,0.04184912,0.065497816,0.05367347
0,0.4267078,0.15022585,0.2884668
0,0.18920936,0.097429775,0.14331956
0,0.055674005,0.17385218,0.11476309
0,0.12279124,0.19757864,0.16018493
1,0.053622212,0.15097508,0.10229865
0,0.044962145,0.014802894,0.02988252
0,0.18571526,0.03993146,0.11282336
0,0.11897655,0.13241634,0.12569645
0,0.07430583,0.13691166,0.10560875
0,0.03054378,0.12253914,0.07654146
0,0.083129026,0.13197796,0.1075535
0,0.01837959,0.108165264,0.063272424
0,0.07995829,0.027505778,0.053732034
1,0.060630605,0.17810734,0.11936897
0,0.1319203,0.1976127,0.16476649
0,0.3364282,0.1218738,0.229151
0,0.011607357,0.1050977,0.05835253
0,0.038235266,0.055951517,0.04709339
0,0.00018467112,0.0066600544,0.0034223627
0,0.10443055,0.02650831,0.06546943
0,0.019361485,0.06733538,0.04334843
0,0.07017247,0.066110514,0.06814149
0,0.066081144,0.06351554,0.06479834
0,0.047089633,0.024860293,0.035974964
0,0.042534754,0.048945103,0.045739926
0,0.050963648,0.2292634,0.14011352
0,0.059753504,0.23763406,0.14869379
1,0.06637015,0.13422412,0.10029714
0,0.056493677,0.012891521,0.0346926
0,0.022980122,0.081587724,0.052283924
0,0.07700124,0.06565339,0.071327314
0,0.011479105,0.11593691,0.06370801
1,0.18972781,0.19837676,0.19405228
0,0.32208455,0.3857601,0.3539223
0,0.13374478,0.035132453,0.084438615
0,0.108630374,0.11942828,0.114029326
0,0.11816099,0.241464,0.17981249
0,0.013606805,0.037964158,0.025785482
0,0.083232194,0.07321225,0.07822222
1,0.6042206,0.065835886,0.33502826
0,0.02185152,0.040498894,0.031175207
0,0.082863666,0.10119325,0.092028454
0,0.08713421,0.27760547,0.18236984
0,0.031136861,0.101208925,0.06617289
0,0.029044187,0.062400743,0.045722466
0,0.016743612,0.108351626,0.06254762
0,0.031447135,0.045749433,0.038598284
0,0.05883792,0.2269753,0.1429066
0,0.037303187,0.27706042,0.1571818
0,0.11573697,0.13852601,0.12713149
0,0.16544387,0.062304772,0.113874316
1,0.57251555,0.19148603,0.3820008
0,0.093942866,0.11784809,0.105895475
1,0.38409328,0.23349467,0.30879396
0,0.037684813,0.051268518,0.044476666
0,0.17460923,0.06824145,0.12142534
0,0.021207815,0.0145841,0.017895957
0,0.12627499,0.10164965,0.11396232
0,0.03108373,0.08688565,0.05898469
0,0.00014631893,0.097413935,0.04878013
0,0.24480358,0.10688442,0.175844
0,0.10448058,0.05347241,0.0789765
0,0.05498979,0.07055399,0.06277189
0,0.08445485,0.09582805,0.090141445
1,0.56970805,0.27074957,0.4202288
0,0.04640671,0.039632753,0.04301973
0,0.14062381,0.0839117,0.112267755
0,0.05292252,0.044689685,0.0488061
0,0.08472297,0.1672241,0.12597354
0,0.15454485,0.26854813,0.21154648
0,0.17896749,0.09165227,0.13530988
0,0.2675465,0.04127577,0.15441114
0,0.22592539,0.075275734,0.15060055
0,0.010575282,0.062374316,0.036474798
0,0.09115383,0.1032437,0.09719877
0,0.008704613,0.21404526,0.11137494
0,0.07078905,0.06449051,0.06763978
0,0.025225425,0.12978323,0.07750433
0,0.031558145,0.17715943,0.104358785
0,0.054939963,0.1872279,0.12108393
0,0.05838516,0.049419116,0.053902138
0,0.02874869,0.03572196,0.032235324
0,0.053129215,0.16280188,0.107965544
1,0.070783734,0.08031312,0.075548425
0,0.030924337,0.04851823,0.039721284
0,0.06513161,0.22187497,0.1435033
0,0.00419383,0.114777595,0.05948571
0,0.23738106,0.15283436,0.1951077
0,0.008860712,0.038270358,0.023565535
